2016, 1, 11:57:15, 0:00:27
2016, 2, 11:58:11, 0:00:56
2016, 3, 11:59:09, 0:00:58
2016, 4, 12:00:04, 0:00:55
2016, 5, 12:00:53, 0:00:49
2016, 6, 12:01:47, 0:00:54
2016, 7, 12:02:53, 0:01:06
2016, 8, 12:04:07, 0:01:14
2016, 9, 12:05:31, 0:01:24
2016, 10, 12:06:57, 0:01:26
2016, 11, 12:08:29, 0:01:32
2016, 12, 12:10:07, 0:01:38
2017, 1, 12:12:04, 0:01:57
2017, 2, 12:14:01, 0:01:57
2017, 3, 12:17:11, 0:03:10
2017, 4, 12:20:45, 0:03:34
2017, 5, 12:24:26, 0:03:41
2017, 6, 12:28:10, 0:03:44
2017, 7, 12:32:35, 0:04:25
2017, 8, 12:36:43, 0:04:08
2017, 9, 12:41:17, 0:04:34
2017, 10, 12:46:03, 0:04:46
2017, 11, 12:50:18, 0:04:15
2017, 12, 12:54:32, 0:04:14
2018, 1, 12:59:24, 0:04:52
2018, 2, 13:04:18, 0:04:54
2018, 3, 13:09:18, 0:05:00
2018, 4, 13:21:28, 0:12:10
2018, 5, 13:38:48, 0:17:20
2018, 6, 13:58:17, 0:19:29
2018, 7, 14:24:25, 0:26:08
2018, 8, 15:02:40, 0:38:15
2018, 9, 15:43:42, 0:41:02
2018, 10, 16:25:26, 0:41:44
2018, 11, 17:04:27, 0:39:01
2018, 12, 17:48:41, 0:44:14
2019, 1, 18:35:40, 0:46:59
2019, 2, 19:30:59, 0:55:19
